,LacI protein_amici,LacI protein_copasi,LacI protein_tellurium,TetR protein_amici,TetR protein_copasi,TetR protein_tellurium,cI protein_amici,cI protein_copasi,cI protein_tellurium,LacI mRNA_amici,LacI mRNA_copasi,LacI mRNA_tellurium,TetR mRNA_amici,TetR mRNA_copasi,TetR mRNA_tellurium,cI mRNA_amici,cI mRNA_copasi,cI mRNA_tellurium
269,1757.0869731544558,34.0,1757.1278208012745,242.34107018345398,3209.0,242.32930657521962,1757.0869731544558,71.0,1757.1278208012745,5.100174617258956,0.0,5.100589433381722,6.41389704606178,0.0,6.41357958719359,5.100174617258956,30.0,5.100589433381722
270,1670.5476555058444,39.0,1670.588504353263,271.65138716326294,3304.0,271.63816214531715,1670.5476555058444,69.0,1670.588504353263,4.230046478421062,0.0,4.230392590304128,7.190214976002492,0.0,7.189865442144354,4.230046478421062,33.0,4.230392590304128
271,1584.442765054564,36.0,1584.4831488716902,304.45815225689427,3376.0,304.4433384263539,1584.442765054564,67.0,1584.4831488716902,3.49499014617881,0.0,3.4952762627641185,8.044067809288546,0.0,8.043684720328606,3.49499014617881,29.0,3.4952762627641185
272,1499.594723951792,47.0,1499.6342438867377,341.058385748611,3433.0,341.0418619589197,1499.594723951792,66.0,1499.6342438867377,2.879302261449376,0.0,2.8795371303390054,8.978845326272635,0.0,8.978427761910915,2.879302261449376,36.0,2.8795371303390054
273,1416.6656814982875,65.0,1416.7040648241177,381.7488116002579,3449.0,381.73045546576486,1416.6656814982875,70.0,1416.7040648241177,2.3674081987497693,0.0,2.367599593734201,9.996972303730349,0.0,9.996519764116638,2.3674081987497693,32.0,2.367599593734201
274,1336.1716178336474,74.0,1336.208620543861,426.8184053954557,3408.0,426.79810554448966,1336.1716178336474,79.0,1336.208620543861,1.944535647220633,0.0,1.9446915519358128,11.099605577419688,0.0,11.099118034662048,1.944535647220633,37.0,1.9446915519358128
275,1258.4989423421569,91.0,1258.5344066924729,476.53930716707976,3371.0,476.51697000934587,1258.4989423421569,90.0,1258.5344066924729,1.5971284362721514,0.0,1.5972551682356737,12.286305117059301,0.0,12.285783541555087,1.5971284362721514,38.0,1.5972551682356737
276,1183.9221709241929,112.0,1183.956006920385,531.156135842149,3291.0,531.1316738732064,1183.9221709241929,96.0,1183.956006920385,1.3130609125368982,0.0,1.3131638535536738,13.554694571907227,0.0,13.554140550345025,1.3130609125368982,49.0,1.3131638535536738
277,1112.6213148195473,127.0,1112.6534835033037,590.8736875634353,3189.0,590.8470375850144,1112.6213148195473,95.0,1112.6534835033037,1.0817058013330991,0.0,1.0817896630128385,14.90012283660986,0.0,14.899539052622943,1.0817058013330991,45.0,1.0817896630128385
278,1044.6981748333856,142.0,1044.7286616491665,655.8432874884331,3064.0,655.8144156596168,1044.6981748333856,97.0,1044.7286616491665,0.8939017583279961,0.0,0.8939700019980986,16.315350357031267,1.0,16.314740842079768,0.8939017583279961,52.0,0.8939700019980986
279,980.1910730590492,163.0,980.2199072119714,726.1481151698205,2927.0,726.1170209808457,980.1910730590492,91.0,980.2199072119714,0.7418581442076484,0.0,0.7419135731131085,17.790281569951627,1.0,17.7896514978389,0.7418581442076484,59.0,0.7419135731131085
280,919.0879007139695,194.0,919.1151101383874,801.7879149502645,2795.0,801.754634645561,919.0879007139695,105.0,919.1151101383874,0.6190241881629325,0.0,0.6190691551688325,19.311767926937723,1.0,19.311123609648742,0.6190241881629325,59.0,0.6190691551688325
281,861.3372608349026,204.0,861.3628737356198,882.6637263291173,2671.0,882.6283591029522,861.3372608349026,130.0,861.3628737356198,0.519944518344738,0.0,0.5199807506102468,20.86350272706733,2.0,20.86285344461397,0.519944518344738,60.0,0.5199807506102468
282,806.8579699999008,213.0,806.8819237110291,968.5632988681409,2510.0,968.5261033223584,806.8579699999008,162.0,806.8819237110291,0.44011177272728874,0.0,0.4401404691359931,22.426029336530725,0.0,22.42539178903107,0.44011177272728874,59.0,0.4401404691359931
283,755.5469011681021,250.0,755.569157329403,1059.147983035592,2383.0,1059.109351195768,755.5469011681021,202.0,755.569157329403,0.37582738747490757,0.0,0.37585015249204534,23.976872602218695,1.0,23.976262148417725,0.37582738747490757,55.0,0.37585015249204534
284,707.2854436749222,305.0,707.3061994766318,1153.941766901303,2233.0,1153.901900323772,707.2854436749222,227.0,707.3061994766318,0.3240736302184342,0.0,0.32408532599233436,25.490799094290548,2.0,25.490214017581085,0.3240736302184342,59.0,0.32408532599233436
285,661.9447017163915,383.0,661.9641444608341,1252.3232519120377,2105.0,1252.282208642611,661.9447017163915,237.0,661.9641444608341,0.2824003190697528,0.0,0.28241101372955074,26.940202553963076,2.0,26.93964203986894,0.2824003190697528,61.0,0.28241101372955074
286,619.3896422220963,439.0,619.4078415130206,1353.521128438034,1973.0,1353.4792315960144,619.3896422220963,249.0,619.4078415130206,0.24882617824452333,0.0,0.2488345462326914,28.2956036446154,2.0,28.295085542906403,0.24882617824452333,65.0,0.2488345462326914
287,579.4823529422154,492.0,579.4993848929912,1456.6136603899822,1869.0,1456.5712859662272,579.4823529422154,263.0,579.4993848929912,0.22175463850654126,0.0,0.22176188817623219,29.526253083002036,2.0,29.525791664258332,0.22175463850654126,73.0,0.22176188817623219
288,542.0845636693804,549.0,542.1004972397213,1560.5325606980277,1756.0,1560.4901806399594,542.0845636693804,264.0,542.1004972397213,0.19990285602711108,0.0,0.19990875539209127,30.60082852775419,1.0,30.600439552909506,0.19990285602711108,76.0,0.19990875539209127
289,507.0595652707501,601.0,507.0744653592855,1664.071595852402,1625.0,1664.0297667261334,507.0595652707501,283.0,507.0744653592855,0.1822425252078165,0.0,0.1822475478785897,31.488226729563426,1.0,31.487924814466744,0.1822425252078165,67.0,0.1822475478785897
290,474.273639969065,687.0,474.28756655311616,1765.900292206748,1518.0,1765.8596662046411,474.273639969065,345.0,474.28756655311616,0.16795099387208698,0.0,0.16795573160304808,32.15846656498275,2.0,32.158265610593496,0.16795099387208698,51.0,0.16795573160304808
291,443.59709528085125,777.0,443.61011351924833,1864.583189754459,1412.0,1864.544369714715,443.59709528085125,414.0,443.61011351924833,0.15637134341325554,0.0,0.15637390790173614,32.58373059509518,3.0,32.58364156548215,0.15637134341325554,47.0,0.15637390790173614
